"flight_status","departure_airport","arrival_airport","flight_number","flight_date"
"scheduled","IKA","ADA","TK3871","2021-10-15"
"scheduled","MEL","KUL","TK4810","2021-10-15"
"scheduled","EBB","MST","TK6493","2021-10-15"
"cancelled","IST","TLV","TK810","2021-10-15"
"scheduled","MEL","SIN","TK9311","2021-10-15"
"landed","BOM","ADD","TM7611","2021-10-15"
"landed","DXB","ADD","TM7613","2021-10-15"
"active","ADD","MPM","TM7819","2021-10-15"
"cancelled","ITM","NRT","TN1801","2021-10-15"
"scheduled","XIY","LXA","TV6052","2021-10-15"
"scheduled","XMN","TSN","TV6077","2021-10-15"
"scheduled","DYU","KUF","U62928","2021-10-15"
"landed","CKG","PEK","UA7548","2021-10-15"
"landed","IWK","HND","UA7920","2021-10-15"
"scheduled","ICN","SFO","UA858","2021-10-15"
"scheduled","VCP","SCL","UC1503","2021-10-15"
"active","HND","DEL","UK2039","2021-10-15"
"scheduled","FUK","HND","UK2318","2021-10-15"
"scheduled","MEL","SIN","UK8218","2021-10-15"
"scheduled","MEL","KUL","UL2328","2021-10-15"
"active","HND","DEL","UL3343","2021-10-15"
"scheduled","HIS","HTI","VA5010","2021-10-15"
"scheduled","HIS","HTI","VA5014","2021-10-15"
"scheduled","KOK","KEM","W26126","2021-10-15"
"scheduled","MEL","KUL","WY5128","2021-10-15"
"scheduled","SEZ","AUH","WY5621","2021-10-15"
"scheduled","AUH","ICN","WY5876","2021-10-15"
"scheduled","PRI","SEZ","X14812","2021-10-15"
"scheduled","SEZ","AUH","XY3621","2021-10-15"
"scheduled","AUH","ICN","XY3876","2021-10-15"
"active","KWE","PEK","Y87190","2021-10-15"
"scheduled","TPE","CAN","Y87912","2021-10-15"
"scheduled","NGB","KIX","Y87955","2021-10-15"
"scheduled","SIN","SYX","Y87962","2021-10-15"
"scheduled","PEK","KMG","ZH1167","2021-10-15"
"landed","PEK","CAN","ZH1321","2021-10-15"
"scheduled","PEK","SZX","ZH1367","2021-10-15"
"landed","PEK","CTU","ZH1415","2021-10-15"
"cancelled","PEK","KWE","ZH1493","2021-10-15"
"scheduled","PEK","XIC","ZH1497","2021-10-15"
"scheduled","KMG","HGH","ZH1752","2021-10-15"
"scheduled","HNY","PEK","ZH1870","2021-10-15"
"scheduled","KMG","WNZ","ZH1956","2021-10-15"
"scheduled","XIY","LXA","ZH2030","2021-10-15"
"landed","KWE","TNA","ZH2681","2021-10-15"
"scheduled","XMN","TSN","ZH3701","2021-10-15"
"scheduled","XIY","CTU","ZH3766","2021-10-15"
"scheduled","TYN","SHE","ZH3879","2021-10-15"
"scheduled","INC","ZUH","ZH4055","2021-10-15"
"landed","URC","CTU","ZH4152","2021-10-15"
"scheduled","SHE","KMG","ZH4176","2021-10-15"
"landed","URC","CTU","ZH4192","2021-10-15"
"scheduled","KMG","BFJ","ZH5112","2021-10-15"
"scheduled","KMG","WMT","ZH5407","2021-10-15"
"scheduled","XIY","KMG","ZH5452","2021-10-15"
"scheduled","CAN","KMG","ZH5480","2021-10-15"
"scheduled","KMG","JJN","ZH8794","2021-10-15"
"scheduled","KMG","KHN","ZH8814","2021-10-15"
"scheduled","KMG","SZX","ZH9454","2021-10-15"
"scheduled","CNS","ISA","ZL5361","2021-10-15"
"scheduled","CNS","ABM","ZL5516","2021-10-15"
"scheduled","TRK","LAS","1I303","2021-10-01"
"landed","TAO","HET","3U2015","2021-10-01"
"landed","CTU","SZX","3U2590","2021-10-01"
"landed","CKG","SZX","3U2602","2021-10-01"
"scheduled","SIN","MNL","5J808","2021-10-01"
"cancelled","HND","OIT","6J91","2021-10-01"
"landed","TAO","SHA","9C8822","2021-10-01"
"landed","SZX","SHA","9C8918","2021-10-01"
"landed","TAO","XIY","9H8320","2021-10-01"
"scheduled","ATH","TBS","A3896","2021-10-01"
"scheduled","NBC","NJC","A4267","2021-10-01"
"landed","TAO","PEK","AC6650","2021-10-01"
"scheduled","ICN","PEK","AF3238","2021-10-01"
"scheduled","NOU","NRT","AF4020","2021-10-01"
"scheduled","CTU","PEK","AH3061","2021-10-01"
"scheduled","DEL","LHR","AI161","2021-10-01"
"scheduled","AEP","USH","AR1882","2021-10-01"
"scheduled","LHE","AUH","AZ5713","2021-10-01"
"scheduled","DOH","MLE","B66508","2021-10-01"
"scheduled","HND","LHR","BA4609","2021-10-01"
"scheduled","HND","KOJ","BC301","2021-10-01"
"scheduled","HND","OKA","BC511","2021-10-01"
"landed","BHY","KMG","BK5084","2021-10-01"
"scheduled","TPE","TAE","BX792","2021-10-01"
"scheduled","PEK","NKG","CA1083","2021-10-01"
"scheduled","CAN","NKG","CA1089","2021-10-01"
"scheduled","SZX","YTY","CA3359","2021-10-01"
"active","SZX","PEK","CA3403","2021-10-01"
"landed","CTU","SZX","CA3416","2021-10-01"
"landed","CKG","SZX","CA3572","2021-10-01"
"scheduled","SZX","WUX","CA3589","2021-10-01"
"landed","SZX","CGQ","CA3647","2021-10-01"
"active","SHE","DAT","CA3677","2021-10-01"
"landed","SZX","NTG","CA3823","2021-10-01"
"landed","TAO","HET","CA4857","2021-10-01"
"scheduled","YIW","KIX","CF215","2021-10-01"
"scheduled","CGO","ICN","CF221","2021-10-01"
"scheduled","YIW","KIX","CF225","2021-10-01"
"scheduled","CGO","NRT","CF227","2021-10-01"
"scheduled","CSX","NKG","CF9007","2021-10-01"
"scheduled","KMG","NKG","CF9017","2021-10-01"
"scheduled","XMN","NKG","CF9065","2021-10-01"
"scheduled","TSN","NKG","CF9101","2021-10-01"
"scheduled","TPE","ANC","CI5398","2021-10-01"
"scheduled","WHK","AKL","CV827","2021-10-01"
"scheduled","SZX","PKX","CZ3175","2021-10-01"
"landed","SZX","KHN","CZ3583","2021-10-01"
"scheduled","SZX","CGO","CZ3976","2021-10-01"
"scheduled","SZX","SYX","CZ3978","2021-10-01"
"scheduled","SHA","INC","CZ4149","2021-10-01"
"scheduled","SZX","TSN","CZ5819","2021-10-01"
"landed","SHE","SZX","CZ6311","2021-10-01"
"landed","SZX","DLC","CZ6333","2021-10-01"
"landed","SHE","XIY","CZ6413","2021-10-01"
"landed","SZX","XIY","CZ6621","2021-10-01"
"landed","SZX","PVG","CZ6755","2021-10-01"
"scheduled","SZX","WUH","CZ8717","2021-10-01"
"scheduled","CGQ","TNA","CZ9474","2021-10-01"
"scheduled","SZX","HGH","CZ9905","2021-10-01"
"scheduled","SIN","ICN","DL7691","2021-10-01"
"scheduled","CDG","BUD","DL8638","2021-10-01"
"landed","BHY","KMG","DR5084","2021-10-01"
"scheduled","SZX","HGH","DZ6233","2021-10-01"
"scheduled","HKT","DXB","EK379","2021-10-01"
"landed","BHY","CKG","EU2717","2021-10-01"
"scheduled","LHE","AUH","EY242","2021-10-01"
"scheduled","CHC","DUD","EY4491","2021-10-01"
"scheduled","CHC","WLG","EY4505","2021-10-01"
"scheduled","CHC","WLG","EY4522","2021-10-01"
"scheduled","ATH","TBS","FB1546","2021-10-01"
"scheduled","CHC","WLG","FJ5552","2021-10-01"
"scheduled","SIN","LHR","FJ5949","2021-10-01"
"active","TAO","JXA","FM9229","2021-10-01"
"scheduled","SZX","CGO","G56003","2021-10-01"
"scheduled","TYN","HET","G56314","2021-10-01"
"active","BHY","CKG","G56550","2021-10-01"
"scheduled","TAO","HET","G56845","2021-10-01"
"scheduled","TAO","HET","G56951","2021-10-01"
"scheduled","TAO","HET","G56990","2021-10-01"
"landed","TAO","HET","G58306","2021-10-01"
"active","CKG","TAO","G58351","2021-10-01"
"landed","SHE","XUZ","G59324","2021-10-01"
"landed","SZX","SHA","G59364","2021-10-01"
"scheduled","TSN","SZX","GI4023","2021-10-01"
"scheduled","CGO","HFE","GI4113","2021-10-01"
"scheduled","CGO","ICN","GI4119","2021-10-01"
"scheduled","SHA","INC","GJ5347","2021-10-01"
"landed","SHE","XUZ","GJ8548","2021-10-01"
"scheduled","HET","SZX","GJ8716","2021-10-01"
"scheduled","HND","HIJ","HA5101","2021-10-01"
"scheduled","HND","KOJ","HA5328","2021-10-01"
"cancelled","HND","MMB","HD75","2021-10-01"
"landed","TAO","WUX","HO1853","2021-10-01"
"scheduled","SZX","WNZ","HO5095","2021-10-01"
"scheduled","SZX","YTY","HO5167","2021-10-01"
"scheduled","SZX","WUX","HO5199","2021-10-01"
"landed","SZX","NTG","HO5287","2021-10-01"
"scheduled","TSN","WEH","HT3819","2021-10-01"
"scheduled","SZX","NKG","HU7155","2021-10-01"
"scheduled","SZX","PEK","HU7712","2021-10-01"
"landed","SZX","FUG","HU7765","2021-10-01"
"scheduled","IKT","UUD","IO107","2021-10-01"
"scheduled","HND","HIJ","JL253","2021-10-01"
"cancelled","HND","FUK","JL303","2021-10-01"
"scheduled","HND","LHR","JL41","2021-10-01"
"cancelled","HND","CTS","JL501","2021-10-01"
"scheduled","NOU","NRT","JL5370","2021-10-01"
"cancelled","HND","KMJ","JL623","2021-10-01"
"scheduled","HND","KOJ","JL641","2021-10-01"
"cancelled","HND","OKA","JL901","2021-10-01"
"scheduled","CHC","WLG","JQ286","2021-10-01"
"scheduled","LHE","AUH","JU7502","2021-10-01"
"scheduled","SIN","ICN","KE646","2021-10-01"
"scheduled","AAL","AMS","KL1332","2021-10-01"
"scheduled","LHE","AUH","KL3932","2021-10-01"
"scheduled","ICN","PEK","KL891","2021-10-01"
"scheduled","ICN","PEK","KL892","2021-10-01"
"scheduled","CDG","BUD","KQ3830","2021-10-01"
"active","SZX","PEK","KY9103","2021-10-01"
"landed","CTU","SZX","KY9416","2021-10-01"
"landed","CKG","SZX","KY9432","2021-10-01"
"scheduled","SZX","WNZ","KY9561","2021-10-01"
"scheduled","SZX","YTY","KY9629","2021-10-01"
"landed","SZX","CGQ","KY9643","2021-10-01"
"active","SHE","DAT","KY9737","2021-10-01"
"scheduled","SZX","WUX","KY9803","2021-10-01"
"landed","SZX","NTG","KY9921","2021-10-01"
"scheduled","SZX","BZX","KY9973","2021-10-01"
"scheduled","DOH","MLE","LA5311","2021-10-01"
"active","HND","FRA","LH4921","2021-10-01"
"scheduled","SIN","ZRH","LX9001","2021-10-01"
"scheduled","SZX","PKX","MF1071","2021-10-01"
"scheduled","SZX","CGO","MF1554","2021-10-01"
"scheduled","SZX","SYX","MF1556","2021-10-01"
"scheduled","SZX","TSN","MF1575","2021-10-01"
"landed","SHE","SZX","MF1695","2021-10-01"
"landed","SZX","XIY","MF1785","2021-10-01"
"cancelled","TAO","HRB","MF3427","2021-10-01"
"landed","SHE","XUZ","MF5338","2021-10-01"
"scheduled","NBO","AMS","MP8122","2021-10-01"
"scheduled","XNN","PKX","MU2443","2021-10-01"
"cancelled","TAO","HRB","MU2701","2021-10-01"
"landed","TAO","WUX","MU3728","2021-10-01"
"scheduled","BNE","SYD","MU4189","2021-10-01"
"landed","SZX","SHA","MU5334","2021-10-01"
"scheduled","SHA","INC","MU8127","2021-10-01"
"scheduled","HFE","XNN","MU9671","2021-10-01"
"scheduled","PEN","SIN","N7221","2021-10-01"
"cancelled","HND","OIT","NH2491","2021-10-01"
"cancelled","HND","MMB","NH4777","2021-10-01"
"landed","HND","TAK","NH533","2021-10-01"
"cancelled","HND","ITM","NH985","2021-10-01"
"scheduled","SIN","MAN","NZ3302","2021-10-01"
"scheduled","SIN","LHR","NZ3306","2021-10-01"
"scheduled","CHC","WLG","NZ332","2021-10-01"
"scheduled","SIN","ZRH","NZ3346","2021-10-01"
"scheduled","NPE","AKL","NZ5002","2021-10-01"
"scheduled","NPL","AKL","NZ5030","2021-10-01"
"scheduled","PMR","AKL","NZ5100","2021-10-01"
"scheduled","CHC","IVC","NZ5711","2021-10-01"
"scheduled","CHC","DUD","NZ5741","2021-10-01"
"scheduled","NPE","CHC","NZ5771","2021-10-01"
"scheduled","CHC","NSN","NZ5840","2021-10-01"
"scheduled","GIS","AKL","NZ8160","2021-10-01"
"scheduled","GIS","WLG","NZ8283","2021-10-01"
"scheduled","NPL","CHC","NZ8761","2021-10-01"
"scheduled","NPL","WLG","NZ8791","2021-10-01"
"scheduled","TRG","CHC","NZ8807","2021-10-01"
"scheduled","JJN","YNT","O36844","2021-10-01"
"scheduled","CGO","WUX","O36901","2021-10-01"
"scheduled","PEK","SZX","O36909","2021-10-01"
"scheduled","PEK","HGH","O36913","2021-10-01"
"scheduled","JJN","WUX","O36930","2021-10-01"
"scheduled","KMG","HGH","O36943","2021-10-01"
"scheduled","PEK","WUX","O36945","2021-10-01"
"scheduled","CAN","WUX","O36979","2021-10-01"
"scheduled","HET","HGH","O37053","2021-10-01"
"scheduled","CSX","WUH","O37055","2021-10-01"
"scheduled","SIN","SZX","O37072","2021-10-01"
"scheduled","CSX","HKG","O37209","2021-10-01"
"scheduled","CSX","KIX","O37255","2021-10-01"
"active","KQH","AMD","OG126","2021-10-01"
"scheduled","PRG","HRG","OK4272","2021-10-01"
"scheduled","SIN","ICN","OM6231","2021-10-01"
"scheduled","SIN","ZRH","OU5815","2021-10-01"
"scheduled","SIN","ICN","OZ6782","2021-10-01"
"scheduled","ISB","DXB","PA210","2021-10-01"
"landed","CGK","DPS","PG4310","2021-10-01"
"scheduled","ISB","SHJ","PK181","2021-10-01"
"scheduled","LHE","AUH","PK4242","2021-10-01"
"scheduled","ISB","KUL","PK894","2021-10-01"
"scheduled","LHE","ISB","PK9452","2021-10-01"
"scheduled","HID","SYU","Q6162","2021-10-01"
"scheduled","HID","TIS","Q6904","2021-10-01"
"scheduled","CHC","WLG","QF4995","2021-10-01"
"scheduled","NPE","AKL","QF8469","2021-10-01"
"scheduled","PMR","AKL","QF8484","2021-10-01"
"scheduled","GIS","AKL","QF8493","2021-10-01"
"scheduled","NPL","AKL","QF8502","2021-10-01"
"scheduled","UPG","CGK","QG341","2021-10-01"
"scheduled","DOH","IKA","QR490","2021-10-01"
"scheduled","HND","HIJ","QR6025","2021-10-01"
"scheduled","HND","KOJ","QR6035","2021-10-01"
"scheduled","MNL","DOH","QR929","2021-10-01"
"scheduled","PRG","HRG","QS1240","2021-10-01"
"landed","TAO","KOW","QW9851","2021-10-01"
"scheduled","DOH","MLE","S74851","2021-10-01"
"scheduled","VVO","PKC","S76215","2021-10-01"
"scheduled","NOU","NRT","SB800","2021-10-01"
"landed","TAO","HET","SC2349","2021-10-01"
"landed","CKG","SZX","SC4343","2021-10-01"
"scheduled","SZX","YTY","SC9039","2021-10-01"
"landed","CTU","SZX","SC9076","2021-10-01"
"active","SZX","PEK","SC9203","2021-10-01"
"scheduled","SHE","SZX","SC9604","2021-10-01"
"active","SHE","DAT","SC9737","2021-10-01"
"scheduled","SZX","WUX","SC9803","2021-10-01"
"landed","SZX","NTG","SC9921","2021-10-01"
"scheduled","SIN","LHR","SK8036","2021-10-01"
"scheduled","SIN","JFK","SQ24","2021-10-01"
"scheduled","SIN","LHR","SQ306","2021-10-01"
"scheduled","SIN","ZRH","SQ346","2021-10-01"
"scheduled","NPL","CHC","SQ4533","2021-10-01"
"scheduled","TRG","CHC","SQ4541","2021-10-01"
"scheduled","SIN","MAN","SQ52","2021-10-01"
"scheduled","SIN","ICN","SQ608","2021-10-01"
"scheduled","UUS","KHV","SU5625","2021-10-01"
"scheduled","HKT","DXB","TG4505","2021-10-01"
"scheduled","ASM","IST","TK577","2021-10-01"
"scheduled","SIN","LHR","TP8400","2021-10-01"
"scheduled","SIN","MAN","TP8434","2021-10-01"
"landed","SHE","XUZ","TV6938","2021-10-01"
"landed","BHY","CKG","TV7145","2021-10-01"
"scheduled","IKT","VVO","U6365","2021-10-01"
"scheduled","AAL","AMS","VS5840","2021-10-01"
"scheduled","SIN","MAN","VS7967","2021-10-01"
"scheduled","SIN","LHR","VS7975","2021-10-01"
"scheduled","HID","SYU","W22332","2021-10-01"
"active","MBA","KGL","WB501","2021-10-01"
"scheduled","ASR","IKA","XC9741","2021-10-01"
"scheduled","SZX","NKG","Y87155","2021-10-01"
"scheduled","TSN","PVG","Y87458","2021-10-01"
"scheduled","TSN","PVG","Y87490","2021-10-01"
"scheduled","TSN","PVG","Y87492","2021-10-01"
"scheduled","CAN","TPE","Y87911","2021-10-01"
"scheduled","TSN","HGH","Y87919","2021-10-01"
"scheduled","HIA","SJW","YG9008","2021-10-01"
"scheduled","HIA","KIX","YG9009","2021-10-01"
"scheduled","TSN","CAN","YG9025","2021-10-01"
"scheduled","HGH","MNL","YG9041","2021-10-01"
"scheduled","NRT","HGH","YG9106","2021-10-01"
"scheduled","NNG","MNL","YG9113","2021-10-01"
"scheduled","NNG","KUL","YG9115","2021-10-01"
"landed","HGH","SZX","ZH1731","2021-10-01"
"landed","TAO","HET","ZH2565","2021-10-01"
"active","TNA","CTU","ZH3804","2021-10-01"
"landed","CKG","SZX","ZH4343","2021-10-01"
"scheduled","SZX","BZX","ZH8973","2021-10-01"
"scheduled","SZX","WNZ","ZH8981","2021-10-01"
"active","SZX","PEK","ZH9103","2021-10-01"
"active","SZX","WMT","ZH9237","2021-10-01"
"landed","SZX","CGO","ZH9301","2021-10-01"
"landed","SZX","PVG","ZH9505","2021-10-01"
"scheduled","SZX","YTY","ZH9629","2021-10-01"
"landed","SZX","CGQ","ZH9643","2021-10-01"
"active","SHE","DAT","ZH9737","2021-10-01"
"scheduled","SZX","WUX","ZH9803","2021-10-01"
"landed","SZX","NTG","ZH9921","2021-10-01"
"landed","SZX","KHN","ZH9935","2021-10-01"
"scheduled","ISA","BQL","ZL5661","2021-10-01"
"scheduled","KRT","EGN","1Y400","2021-11-04"
"scheduled","KRT","JUB","3T380","2021-11-04"
"cancelled","CKG","FOC","3U2050","2021-11-04"
"scheduled","TNA","KMG","3U8218","2021-11-04"
"scheduled","LJG","LXA","3U8817","2021-11-04"
"scheduled","TNA","LGG","3V812","2021-11-04"
"scheduled","UTT","JNB","4Z752","2021-11-04"
"scheduled","ELS","PLZ","5Z142","2021-11-04"
"scheduled","BOM","DEL","6E2047","2021-11-04"
"scheduled","AMD","DEL","6E2194","2021-11-04"
"scheduled","CCU","BLR","6E379","2021-11-04"
"scheduled","BOM","MAA","6E5332","2021-11-04"
"scheduled","BOM","HYD","6E5359","2021-11-04"
"scheduled","BOM","GOI","6E6913","2021-11-04"
"scheduled","TRZ","MAA","6E7146","2021-11-04"
"scheduled","FOC","KMG","8L9880","2021-11-04"
"cancelled","FOC","YNZ","9C8786","2021-11-04"
"scheduled","AJL","SHL","9I755","2021-11-04"
"scheduled","ATH","ZRH","A31982","2021-11-04"
"scheduled","ATH","LHR","A3600","2021-11-04"
"scheduled","ATH","CDG","A3610","2021-11-04"
"scheduled","ATH","AMS","A3624","2021-11-04"
"scheduled","ATH","MXP","A3660","2021-11-04"
"scheduled","ATH","BCN","A3710","2021-11-04"
"scheduled","ATH","LIS","A3720","2021-11-04"
"scheduled","ATH","RHO","A37202","2021-11-04"
"scheduled","ATH","KGS","A37222","2021-11-04"
"scheduled","ATH","CHQ","A37332","2021-11-04"
"active","ATH","CPH","A3750","2021-11-04"
"scheduled","ATH","ARN","A3760","2021-11-04"
"scheduled","ATH","BER","A3820","2021-11-04"
"scheduled","ATH","ZRH","A3850","2021-11-04"
"active","ATH","VIE","A3860","2021-11-04"
"active","ATH","DME","A3880","2021-11-04"
"scheduled","ATH","SOF","A3980","2021-11-04"
"scheduled","UIO","MIA","AA466","2021-11-04"
"active","BUD","LHR","AA6600","2021-11-04"
"scheduled","ATH","CDG","AC6031","2021-11-04"
"active","ATH","LHR","AC6033","2021-11-04"
"scheduled","ATH","ZRH","AC6833","2021-11-04"
"scheduled","SLZ","CNF","AD4475","2021-11-04"
"active","HND","HIJ","AF8013","2021-11-04"
"scheduled","BOM","LHR","AI131","2021-11-04"
"scheduled","BOM","ATQ","AI649","2021-11-04"
"scheduled","AJL","SHL","AI9755","2021-11-04"
"active","LGK","KUL","AK6305","2021-11-04"
"scheduled","LGK","KUL","AK6323","2021-11-04"
"scheduled","NAT","GRU","AM8545","2021-11-04"
"scheduled","SIN","AUH","AR7889","2021-11-04"
"scheduled","MEL","HKG","AY5844","2021-11-04"
"scheduled","DOH","MLE","B66505","2021-11-04"
"scheduled","DOH","EBB","B66554","2021-11-04"
"scheduled","TSA","MZG","B78611","2021-11-04"
"scheduled","TSA","TTT","B78725","2021-11-04"
"scheduled","LZN","TSA","B78776","2021-11-04"
"scheduled","TSA","KNH","B78819","2021-11-04"
"scheduled","MEL","HKG","BA4140","2021-11-04"
"scheduled","BOM","DEL","BA5846","2021-11-04"
"scheduled","DOH","MLE","BA6382","2021-11-04"
"active","CGK","DOH","BA6395","2021-11-04"
"active","LGK","KUL","BA7384","2021-11-04"
"scheduled","BUD","LHR","BA865","2021-11-04"
"active","LGK","KUL","BI3036","2021-11-04"
"scheduled","CSX","TAO","BK2769","2021-11-04"
"scheduled","LFQ","NNG","BK3067","2021-11-04"
"scheduled","AKL","CHC","BR3215","2021-11-04"
"scheduled","ATH","BER","BT5425","2021-11-04"
"scheduled","PEK","PVG","CA1081","2021-11-04"
"scheduled","NDG","PEK","CA1660","2021-11-04"
"scheduled","YIH","PVG","CA3210","2021-11-04"
"scheduled","PEK","BKK","CA603","2021-11-04"
"scheduled","PEK","LAX","CA625","2021-11-04"
"scheduled","XIY","LNL","CA8819","2021-11-04"
"scheduled","KMG","BKK","CF219","2021-11-04"
"scheduled","CSX","NKG","CF9007","2021-11-04"
"scheduled","CAN","PKX","CF9019","2021-11-04"
"scheduled","PEK","CAN","CF9020","2021-11-04"
"scheduled","WEF","NKG","CF9027","2021-11-04"
"scheduled","TYN","NKG","CF9069","2021-11-04"
"scheduled","TNA","NKG","CF9075","2021-11-04"
"landed","CGO","NKG","CF9091","2021-11-04"
"scheduled","KMI","FUK","CI9952","2021-11-04"
"scheduled","PEK","ICN","CV6483","2021-11-04"
"scheduled","MEL","HKG","CX178","2021-11-04"
"scheduled","HKG","NRT","CX6","2021-11-04"
"scheduled","MMB","HND","CX6413","2021-11-04"
"scheduled","HKG","TLV","CX675","2021-11-04"
"scheduled","HKG","ANC","CX86","2021-11-04"
"cancelled","CKG","FOC","CZ4396","2021-11-04"
"scheduled","SHA","FOC","CZ4512","2021-11-04"
"landed","AAL","CPH","D83081","2021-11-04"
"scheduled","UTH","CNX","DD703","2021-11-04"
"scheduled","UFA","LED","DP560","2021-11-04"
"scheduled","LFQ","NNG","DR3067","2021-11-04"
"scheduled","KRP","CPH","DX73","2021-11-04"
"scheduled","KRS","OSL","DY271","2021-11-04"
"active","LGK","KUL","EK3373","2021-11-04"
"scheduled","CGK","DXB","EK359","2021-11-04"
"scheduled","KUL","DXB","EK449","2021-11-04"
"scheduled","ATH","BCN","ET4300","2021-11-04"
"scheduled","KUL","LBU","EY2696","2021-11-04"
"active","LGK","KUL","EY2775","2021-11-04"
"scheduled","KRS","OSL","EY5784","2021-11-04"
"scheduled","PPP","BNE","EY6819","2021-11-04"
"scheduled","PDG","CGK","EY7133","2021-11-04"
"scheduled","CMB","DAC","EY7168","2021-11-04"
"scheduled","ATH","SOF","FB1506","2021-11-04"
"scheduled","CLO","ADZ","FC8336","2021-11-04"
"cancelled","AKL","WLG","FJ5531","2021-11-04"
"cancelled","AKL","WLG","FJ5543","2021-11-04"
"scheduled","SIN","LHR","FJ5949","2021-11-04"
"scheduled","BUD","BER","FR197","2021-11-04"
"scheduled","POZ","BVA","FR6683","2021-11-04"
"scheduled","FOC","HSN","FU6553","2021-11-04"
"scheduled","FOC","CSX","FU6563","2021-11-04"
"active","LGK","KUL","FY4405","2021-11-04"
"active","LGK","SZB","FY6153","2021-11-04"
"scheduled","CGK","DXB","FZ6359","2021-11-04"
"scheduled","XMN","HET","G56312","2021-11-04"
"scheduled","XMN","HET","G56495","2021-11-04"
"scheduled","XIY","LNL","G58454","2021-11-04"
"scheduled","BOM","AMD","G8365","2021-11-04"
"scheduled","PDG","CGK","GA149","2021-11-04"
"active","CGK","TTE","GA648","2021-11-04"
"active","LGK","KUL","GA9296","2021-11-04"
"scheduled","ELQ","BAH","GF2188","2021-11-04"
"scheduled","JJN","NTG","GI4013","2021-11-04"
"scheduled","XIY","XUZ","GI4017","2021-11-04"
"scheduled","CAN","CGO","GI4107","2021-11-04"
"scheduled","CAN","MNL","GI4215","2021-11-04"
"scheduled","YNT","HAN","GI4223","2021-11-04"
"scheduled","PKX","SWA","GJ6011","2021-11-04"
"scheduled","PKX","WUX","GJ8705","2021-11-04"
"scheduled","SGN","XUZ","GJ8972","2021-11-04"
"scheduled","TNA","XIY","GS7642","2021-11-04"
"active","HND","HIJ","HA5111","2021-11-04"
"active","KMJ","HND","HA5321","2021-11-04"
"scheduled","ASJ","HND","HA5343","2021-11-04"
"scheduled","KMI","FUK","HA5838","2021-11-04"
"scheduled","YCU","WUX","HO5003","2021-11-04"
"scheduled","SHA","SZX","HO5804","2021-11-04"
"cancelled","FOC","PEK","HU7296","2021-11-04"
"scheduled","BOM","DEL","I5767","2021-11-04"
"scheduled","NAT","GRU","IB7020","2021-11-04"
"active","BUD","LHR","IB7516","2021-11-04"
"active","CGK","DOH","IB7961","2021-11-04"
"active","CGK","TIM","ID6186","2021-11-04"
"active","CGK","SOQ","ID7797","2021-11-04"
"scheduled","KRT","KSL","J4310","2021-11-04"
"scheduled","KRT","DOH","J4680","2021-11-04"
"cancelled","KMI","ITM","JL2438","2021-11-04"
"cancelled","HIJ","HND","JL260","2021-11-04"
"scheduled","KMI","FUK","JL3632","2021-11-04"
"scheduled","ASJ","KOJ","JL3730","2021-11-04"
"active","KMJ","HND","JL632","2021-11-04"
"scheduled","ASJ","HND","JL658","2021-11-04"
"active","BUD","LHR","JL7122","2021-11-04"
"scheduled","DOH","NRT","JL7994","2021-11-04"
"cancelled","AKL","WLG","JQ251","2021-11-04"
"cancelled","AKL","WLG","JQ253","2021-11-04"
"scheduled","FOC","PKX","KN2390","2021-11-04"
"scheduled","YCU","WUX","KY9061","2021-11-04"
"scheduled","NAT","GRU","LA4652","2021-11-04"
"scheduled","DOH","NRT","LA6034","2021-11-04"
"scheduled","DOH","MLE","LA6054","2021-11-04"
"scheduled","POZ","FRA","LH1381","2021-11-04"
"scheduled","POZ","MUC","LH1641","2021-11-04"
"landed","HND","KMI","LH4898","2021-11-04"
"scheduled","ATH","ZRH","LH5877","2021-11-04"
"scheduled","KRS","OSL","LH6055","2021-11-04"
"scheduled","MEL","SIN","LH9777","2021-11-04"
"scheduled","POZ","FRA","LO5511","2021-11-04"
"scheduled","ATH","ZRH","LX1843","2021-11-04"
"scheduled","ATH","ZRH","LX4321","2021-11-04"
"scheduled","SIN","ZRH","LX9001","2021-11-04"
"scheduled","XMN","SHE","MF8031","2021-11-04"
"cancelled","TNA","CSX","MF8036","2021-11-04"
"cancelled","FOC","NKG","MF8077","2021-11-04"
"scheduled","XMN","HGH","MF8079","2021-11-04"
"scheduled","XMN","PKX","MF8127","2021-11-04"
"cancelled","FOC","WUH","MF8157","2021-11-04"
"scheduled","XMN","HAK","MF8361","2021-11-04"
"scheduled","XMN","SHA","MF8511","2021-11-04"
"scheduled","SHA","FOC","MF8574","2021-11-04"
"cancelled","XMN","TNA","MF8597","2021-11-04"
"scheduled","XMN","HZG","MF8623","2021-11-04"
"scheduled","XMN","TPE","MF887","2021-11-04"
"active","LGK","KUL","MH1437","2021-11-04"
"scheduled","MKM","MYY","MH3552","2021-11-04"
"cancelled","LHE","CMB","MH9022","2021-11-04"
"scheduled","KMI","KIX","MM190","2021-11-04"
"scheduled","TNA","WUH","MU2642","2021-11-04"
"cancelled","XMN","NKG","MU2810","2021-11-04"
"cancelled","CKG","FOC","MU3268","2021-11-04"
"scheduled","SHA","FOC","MU4950","2021-11-04"
"scheduled","YCU","PVG","MU5192","2021-11-04"
"scheduled","XMN","HSN","MU5369","2021-11-04"
"scheduled","FOC","PVG","MU5600","2021-11-04"
